protocol,experiment,representation,n_queries,n_classes,macro_f1,macro_precision,macro_recall,weighted_f1,accuracy,macro_f1_delta_vs_phase4
row_stratified,T1-B0,word TF-IDF,362,11,0.9807645756436333,0.9910471237801747,0.9721416941034685,0.9833140398300917,0.9834254143646409,0.0
row_stratified,T1-E4,frozen embeddings + entity indicators/counts + contextual slots,362,11,0.9703229586727676,0.9785217052922864,0.9646944016435541,0.9637527437881582,0.9640883977900553,-0.010441616970865653
row_stratified,T1-E1,word TF-IDF + supplied entity indicators/counts,362,11,0.9692915714745296,0.9845373800702955,0.9576138490671489,0.9718791241566582,0.9723756906077348,-0.011473004169103684
row_stratified,T1-E3,frozen multilingual sentence embeddings,362,11,0.9690057224659644,0.9774815157848074,0.9631535695942475,0.9609006570952191,0.9613259668508287,-0.011758853177668893
row_stratified,T1-E2,word TF-IDF + entity indicators/counts + contextual slots,362,11,0.9614314877510026,0.9705612993328511,0.9542462515728721,0.9480323889974351,0.9475138121546961,-0.019333087892630663
row_stratified,T1-P0,final-taxonomy prototype similarity,362,11,0.6831281947481198,0.7222975718595243,0.7566511022335038,0.696153347979686,0.7044198895027625,-0.2976363808955135
template_grouped,T1-E4,frozen embeddings + entity indicators/counts + contextual slots,354,10,0.842487531755405,0.878134275962838,0.8334291442109922,0.8349490156259698,0.8418079096045198,0.333384840874726
template_grouped,T1-E3,frozen multilingual sentence embeddings,354,10,0.7944113383215028,0.804336812132511,0.8203948165960661,0.7809096826012314,0.7796610169491526,0.28530864744082374
template_grouped,T1-E2,word TF-IDF + entity indicators/counts + contextual slots,354,10,0.6782759866324161,0.717934065934066,0.6774542931528548,0.6995832313435852,0.711864406779661,0.169173295751737
template_grouped,T1-P0,final-taxonomy prototype similarity,354,10,0.6514410142229318,0.6945273290454768,0.7323162124568543,0.6892867569735772,0.6977401129943502,0.14233832334225271
template_grouped,T1-E1,word TF-IDF + supplied entity indicators/counts,354,10,0.5135618397814414,0.6798076923076923,0.5044249186751538,0.536006204422624,0.5706214689265536,0.0044591489007623775
template_grouped,T1-B0,word TF-IDF,354,10,0.509102690880679,0.5700049266653744,0.5017800918582457,0.522386822328242,0.5480225988700564,0.0
